yearID,teamID,lgID,playerID,G_all,GS,G_batting,G_defense,G_p,G_c,G_1b,G_2b,G_3b,G_ss,G_lf,G_cf,G_rf,G_of,G_dh,G_ph,G_pr
2019,SFN,NL,beltbr01,156,134,156,151,0,0,144,0,0,0,14,0,1,15,1,19,0
2019,LAA,AL,bemboan01,22,15,22,22,0,22,0,0,0,0,0,0,0,0,0,0,0
2019,TBA,AL,bemboan01,3,2,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0
2019,BOS,AL,beninan01,138,134,138,136,0,0,0,0,0,0,131,12,0,136,1,2,1
2019,SFN,NL,bergetr01,21,0,21,21,21,0,0,0,0,0,0,0,0,0,0,0,0
2019,MIN,AL,berrijo01,32,32,2,32,32,0,0,0,0,0,0,0,0,0,0,0,0
2019,MIA,NL,bertijo01,73,60,73,68,0,0,0,0,20,32,7,21,1,28,0,6,3
2019,NYA,AL,betande01,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2019,COL,NL,bettich01,39,3,35,39,39,0,0,0,0,0,0,0,0,0,0,0,0
2019,BOS,AL,bettsmo01,150,148,150,143,0,0,0,0,0,0,0,17,132,143,7,0,1
2019,HOU,AL,biagijo01,13,0,1,13,13,0,0,0,0,0,0,0,0,0,0,0,0
2019,TOR,AL,biagijo01,50,0,2,50,50,0,0,0,0,0,0,0,0,0,0,0,0
2019,TOR,AL,bichebo01,46,46,46,42,0,0,0,0,0,42,0,0,0,0,4,0,0
2019,ATL,NL,biddlje01,15,0,13,15,15,0,0,0,0,0,0,0,0,0,0,0,0
2019,SEA,AL,biddlje01,11,0,0,11,11,0,0,0,0,0,0,0,0,0,0,0,0
2019,TEX,AL,biddlje01,4,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0
2019,CLE,AL,biebesh01,34,33,2,34,34,0,0,0,0,0,0,0,0,0,0,0,0
2019,TOR,AL,biggica01,100,98,100,96,0,0,8,85,0,0,1,0,8,8,4,1,1
2019,NYA,AL,birdgr01,10,10,10,10,0,0,10,0,0,0,0,0,0,0,0,0,0
2019,TEX,AL,birdky01,12,0,1,12,12,0,0,0,0,0,0,0,0,0,0,0,0
2019,SEA,AL,bishobr01,27,16,27,24,0,0,0,0,0,0,4,20,1,24,1,0,3
2019,BAL,AL,blachty01,5,5,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0
2019,SFN,NL,blachty01,2,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0
2019,COL,NL,blackch02,140,136,140,135,0,0,0,0,0,0,0,0,135,135,2,4,0
2019,OAK,AL,blackpa01,4,1,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0
2019,MIL,NL,blackra01,15,0,15,15,15,0,0,0,0,0,0,0,0,0,0,0,0
2019,SFN,NL,blackra01,2,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0
2019,CIN,NL,blandal01,23,9,23,15,0,0,3,10,4,0,0,0,0,0,1,11,1
2019,WAS,NL,blazemi01,4,0,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0
2019,BAL,AL,bleieri01,53,1,6,53,53,0,0,0,0,0,0,0,0,0,0,0,0
2019,ATL,NL,blevije01,45,0,43,45,45,0,0,0,0,0,0,0,0,0,0,0,0
2019,BOS,AL,bogaexa01,155,154,155,153,0,0,0,0,0,153,0,0,0,0,1,1,0
2019,SDN,NL,bolanro01,5,3,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0
2019,OAK,AL,boltsk01,5,2,5,4,0,0,0,0,0,0,0,3,1,4,0,3,0
2019,KCA,AL,bonifjo01,5,5,5,5,0,0,0,0,0,0,1,0,4,5,0,0,0
2019,TOR,AL,borucry01,2,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0
2019,TOR,AL,boshebu01,28,1,3,28,28,0,0,0,0,0,0,0,0,0,0,0,0
2019,CHN,NL,boteda01,127,75,127,112,0,0,0,50,67,9,0,0,1,1,0,27,3
2019,LAA,AL,bourjpe01,26,11,26,24,0,0,0,1,1,0,12,11,0,23,3,2,4
2019,LAA,AL,bourju01,52,36,52,37,0,0,37,0,0,0,0,0,0,0,3,14,0
2019,WAS,NL,bourqja01,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2019,CIN,NL,bowmama01,27,0,25,27,27,0,0,0,0,0,0,0,0,0,0,0,0
2019,KCA,AL,boxbebr01,29,0,2,29,29,0,0,0,0,0,0,0,0,0,0,0,0
2019,DET,AL,boydma01,32,32,1,32,32,0,0,0,0,0,0,0,0,0,0,0,0
2019,CHN,NL,brachbr01,43,0,39,42,42,0,0,0,0,0,0,0,0,0,0,1,0
2019,NYN,NL,brachbr01,16,0,14,16,16,0,0,0,0,0,0,0,0,0,0,0,0
2019,SEA,AL,bradfch02,12,0,1,12,12,0,0,0,0,0,0,0,0,0,0,0,0
2019,ARI,NL,bradlar01,66,1,61,66,66,0,0,0,0,0,0,0,0,0,0,0,0
2019,CLE,AL,bradlbo01,15,13,15,5,0,0,5,0,0,0,0,0,0,0,8,2,0
2019,BOS,AL,bradlja02,147,138,147,145,0,0,0,0,0,0,0,144,3,145,0,4,1
2019,HOU,AL,brantmi02,148,143,148,123,0,0,0,0,0,0,120,0,9,123,25,5,0
2019,PHI,NL,brantro01,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2019,BOS,AL,brasiry01,62,0,5,62,62,0,0,0,0,0,0,0,0,0,0,0,0
2019,PIT,NL,braulst01,34,19,33,25,25,0,0,0,0,0,0,0,0,0,0,8,2
2019,MIL,NL,braunry02,144,113,144,112,0,0,0,0,0,0,110,0,2,112,3,31,0
2019,SLN,NL,brebbjo01,66,0,63,66,66,0,0,0,0,0,0,0,0,0,0,0,0
2019,HOU,AL,bregmal01,156,156,156,151,0,0,0,0,99,65,0,0,0,0,6,0,0
2019,SEA,AL,brennbr01,44,0,3,44,44,0,0,0,0,0,0,0,0,0,0,0,0
2019,BOS,AL,breweco01,58,0,1,58,58,0,0,0,0,0,0,0,0,0,0,0,0
2019,MIA,NL,briceau01,36,0,34,36,36,0,0,0,0,0,0,0,0,0,0,0,0
2019,MIA,NL,brighje01,32,0,32,32,32,0,0,0,0,0,0,0,0,0,0,0,0
2019,MIA,NL,brinsle01,75,64,75,70,0,0,0,0,0,0,0,60,11,70,0,7,1
2019,TOR,AL,britoso01,17,11,17,17,0,0,0,0,0,0,1,4,12,17,0,1,1
2019,NYA,AL,brittza01,66,0,5,66,66,0,0,0,0,0,0,0,0,0,0,0,0
2019,BAL,AL,brookaa01,14,12,2,14,14,0,0,0,0,0,0,0,0,0,0,0,0
2019,OAK,AL,brookaa01,15,6,0,15,15,0,0,0,0,0,0,0,0,0,0,0,0
2019,TBA,AL,brossmi01,51,32,50,47,3,0,1,26,18,0,5,0,6,11,1,6,4
2019,OAK,AL,brownse01,26,17,26,25,0,0,4,0,0,0,23,0,0,23,0,6,0
2019,BAL,AL,broxtke01,37,29,37,36,0,0,0,0,0,0,0,36,0,36,0,0,1
2019,NYN,NL,broxtke01,34,10,34,28,0,0,0,0,0,0,18,9,7,28,0,6,5
2019,SEA,AL,broxtke01,29,17,29,25,0,0,0,0,0,0,3,20,2,25,3,1,5
2019,PHI,NL,bruceja01,51,33,51,31,0,0,0,0,0,0,31,0,0,31,3,17,0
2019,SEA,AL,bruceja01,47,44,47,42,0,0,16,0,0,0,6,0,24,28,4,3,0
2019,CHN,NL,bryankr01,147,145,147,142,0,0,3,0,115,0,23,0,27,44,3,2,0
2019,TOR,AL,buchhcl01,12,12,0,12,12,0,0,0,0,0,0,0,0,0,0,0,0
2019,OAK,AL,buchtry01,64,0,4,64,64,0,0,0,0,0,0,0,0,0,0,0,0
2019,LAN,NL,buehlwa01,30,30,29,30,30,0,0,0,0,0,0,0,0,0,0,0,0
2019,SFN,NL,bumgama01,37,34,35,34,34,0,0,0,0,0,0,0,0,0,0,3,0
2019,CHA,AL,bummeaa01,58,0,7,58,58,0,0,0,0,0,0,0,0,0,0,0,0
2019,BAL,AL,bundydy01,30,30,1,30,30,0,0,0,0,0,0,0,0,0,0,0,0
2019,PIT,NL,burdini01,11,0,10,11,11,0,0,0,0,0,0,0,0,0,0,0,0
2019,TEX,AL,burkebr01,6,6,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0
2019,MIL,NL,burneco01,32,4,30,32,32,0,0,0,0,0,0,0,0,0,0,0,0
2019,CHA,AL,burrry01,16,1,0,16,16,0,0,0,0,0,0,0,0,0,0,0,0
2019,COL,NL,buterdr01,16,13,16,16,0,14,3,0,0,0,0,0,0,0,0,1,0
2019,LAA,AL,buttrty01,72,0,4,72,72,0,0,0,0,0,0,0,0,0,0,0,0
2019,MIN,AL,buxtoby01,87,78,87,86,0,0,0,0,0,0,0,86,0,86,1,0,3
2019,TEX,AL,cabreas01,93,90,93,93,0,0,0,0,93,0,0,0,0,0,0,0,1
2019,WAS,NL,cabreas01,38,32,38,34,0,0,3,31,5,0,0,0,0,0,0,5,0
2019,SLN,NL,cabrege01,13,2,13,13,13,0,0,0,0,0,0,0,0,0,0,0,0
2019,PIT,NL,cabreme01,133,82,133,97,0,0,0,0,0,0,24,0,74,97,2,44,0
2019,DET,AL,cabremi01,136,133,136,26,0,0,26,0,0,0,0,0,0,0,107,3,0
2019,LAA,AL,cahiltr01,38,11,2,37,37,0,0,0,0,0,0,0,0,0,0,1,0
2019,MIL,NL,cainlo01,148,134,148,143,0,0,0,0,0,0,0,143,0,143,0,9,0
2019,LAA,AL,calhoko01,152,146,152,150,0,0,0,0,0,0,0,2,150,150,0,4,0
2019,TEX,AL,calhowi01,83,76,83,71,0,0,0,0,0,0,71,0,0,71,7,5,1
2019,ATL,NL,camarjo01,98,47,98,62,0,0,1,4,18,25,11,0,5,16,1,39,5
2019,DET,AL,candeje01,94,88,94,89,0,0,20,0,69,0,0,0,0,0,4,4,0
2019,OAK,AL,canhama01,126,112,126,103,0,0,15,0,0,0,10,56,27,90,16,10,1
2019,LAA,AL,cannigr01,18,17,1,18,18,0,0,0,0,0,0,0,0,0,0,0,0
2019,NYN,NL,canoro01,107,100,107,99,0,0,0,99,0,0,0,0,0,0,2,7,0
2019,SEA,AL,carasma01,11,5,1,11,11,0,0,0,0,0,0,0,0,0,0,0,0
2019,CHN,NL,caratvi01,95,59,95,81,2,59,23,0,2,0,0,0,0,0,0,23,0
2019,ATL,NL,carlesh01,6,0,5,6,6,0,0,0,0,0,0,0,0,0,0,0,0
2019,TEX,AL,carpeda01,4,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0
2019,SLN,NL,carpema01,129,106,129,108,0,0,4,0,107,0,0,0,0,0,2,21,0
2019,DET,AL,carpery01,9,9,1,9,9,0,0,0,0,0,0,0,0,0,0,0,0
2019,CLE,AL,carraca01,23,12,1,23,23,0,0,0,0,0,0,0,0,0,0,0,0
2019,CIN,NL,casalcu01,84,57,84,69,0,67,4,0,0,0,0,0,0,0,1,19,1
2019,BAL,AL,cashnan01,17,17,1,17,17,0,0,0,0,0,0,0,0,0,0,0,0
2019,BOS,AL,cashnan01,25,6,2,25,25,0,0,0,0,0,0,0,0,0,0,0,0
2019,CHN,NL,casteni01,51,51,51,51,0,0,0,0,0,0,11,0,48,51,0,0,0
2019,DET,AL,casteni01,100,100,100,89,0,0,0,0,0,0,0,0,89,89,11,0,0
2019,TBA,AL,castidi01,65,6,8,65,65,0,0,0,0,0,0,0,0,0,0,0,0
2019,SDN,NL,castijo03,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2019,CIN,NL,castilu02,32,32,31,32,32,0,0,0,0,0,0,0,0,0,0,0,0
2019,CHA,AL,castiwe01,72,61,72,48,0,48,0,0,0,0,0,0,0,0,21,9,0
2019,MIA,NL,castiwi01,2,2,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0
2019,DET,AL,castrha01,97,87,97,90,0,0,1,34,10,2,8,30,7,44,4,6,2
2019,MIN,AL,castrja01,79,72,79,78,0,78,0,0,0,0,0,0,0,0,0,1,0
2019,BAL,AL,castrmi01,65,0,5,65,65,0,0,0,0,0,0,0,0,0,0,0,0
2019,MIA,NL,castrst01,162,159,162,161,0,0,0,117,45,3,0,0,0,0,0,2,0
2019,DET,AL,castrwi01,30,28,30,29,0,0,0,0,0,29,0,0,0,0,0,1,1
2019,MIN,AL,caveja01,72,54,72,68,0,0,0,0,0,0,10,23,45,68,3,4,5
2019,CHA,AL,ceasedy01,14,14,0,14,14,0,0,0,0,0,0,0,0,0,0,0,0
2019,CHN,NL,cedenxa01,5,0,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0
2019,BOS,AL,centeju01,7,3,7,5,0,5,0,0,0,0,0,0,0,0,1,3,0
2019,ATL,NL,cervefr01,14,8,14,11,0,9,2,0,0,0,0,0,0,0,1,2,0
2019,PIT,NL,cervefr01,34,32,34,32,0,32,1,0,0,0,0,0,0,0,0,2,0
2019,NYA,AL,cessalu01,43,0,2,43,43,0,0,0,0,0,0,0,0,0,0,0,0
2019,BOS,AL,chacijh01,6,5,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0
2019,MIL,NL,chacijh01,19,19,18,19,19,0,0,0,0,0,0,0,0,0,0,0,0
2019,ARI,NL,chafian01,77,0,71,77,77,0,0,0,0,0,0,0,0,0,0,0,0
2019,CLE,AL,changyu01,28,21,28,26,0,0,0,0,25,8,0,0,0,0,0,3,0
2019,NYA,AL,chapmar01,60,0,3,60,60,0,0,0,0,0,0,0,0,0,0,0,0
2019,OAK,AL,chapmma01,156,152,156,156,0,0,0,0,156,0,0,0,0,0,0,0,0
2019,LAN,NL,chargjt01,21,0,19,21,21,0,0,0,0,0,0,0,0,0,0,0,0
2019,CHN,NL,chatwty01,41,5,40,38,38,0,0,0,0,0,0,0,0,0,0,3,0
2019,TEX,AL,chaveje01,48,9,4,48,48,0,0,0,0,0,0,0,0,0,0,0,0
2019,BOS,AL,chavimi01,95,85,95,93,0,0,49,45,5,0,0,0,0,0,1,4,1
2019,MIA,NL,chenwe02,45,0,43,45,45,0,0,0,0,0,0,0,0,0,0,0,0
2019,HOU,AL,chiriro01,114,106,114,112,0,112,0,0,0,0,0,0,0,0,0,2,0
2019,TBA,AL,chiriyo01,26,18,1,26,26,0,0,0,0,0,0,0,0,0,0,0,0
2019,TBA,AL,choiji01,127,106,127,103,0,0,103,0,0,0,0,0,0,0,16,20,1
