playerID,yearID,stint,teamID,lgID,POS,G,GS,InnOuts,PO,A,E,DP,PB,WP,SB,CS,ZR
biddlje01,2019,3,TEX,AL,P,4,0,16,0,0,0,0,,,,,
biebesh01,2019,1,CLE,AL,P,34,33,643,12,14,0,0,,,,,
biggica01,2019,1,TOR,AL,1B,8,2,99,35,2,1,5,,,,,
biggica01,2019,1,TOR,AL,2B,85,84,2206,144,205,4,44,,,,,
biggica01,2019,1,TOR,AL,OF,8,8,201,13,0,0,0,,,,,
birdgr01,2019,1,NYA,AL,1B,10,10,256,83,2,0,6,,,,,
birdky01,2019,1,TEX,AL,P,12,0,38,0,2,0,0,,,,,
bishobr01,2019,1,SEA,AL,OF,24,16,436,41,1,0,0,,,,,
blachty01,2019,1,SFN,NL,P,2,0,19,1,0,0,0,,,,,
blachty01,2019,2,BAL,AL,P,5,5,62,0,3,0,0,,,,,
blackch02,2019,1,COL,NL,OF,135,134,3534,232,5,4,1,,,,,
blackpa01,2019,1,OAK,AL,P,4,1,33,1,4,0,0,,,,,
blackra01,2019,1,SFN,NL,P,2,0,6,1,0,0,0,,,,,
blackra01,2019,2,MIL,NL,P,15,0,42,1,2,0,0,,,,,
blandal01,2019,1,CIN,NL,1B,3,1,33,10,1,0,0,,,,,
blandal01,2019,1,CIN,NL,2B,10,5,150,10,15,1,4,,,,,
blandal01,2019,1,CIN,NL,3B,4,2,57,3,2,0,1,,,,,
blazemi01,2019,1,WAS,NL,P,4,0,15,0,0,0,0,,,,,
bleieri01,2019,1,BAL,AL,P,53,1,166,4,8,0,0,,,,,
blevije01,2019,1,ATL,NL,P,45,0,97,3,1,1,0,,,,,
bogaexa01,2019,1,BOS,AL,SS,153,153,4104,165,347,13,70,,,,,
bolanro01,2019,1,SDN,NL,P,5,3,59,2,0,0,0,,,,,
boltsk01,2019,1,OAK,AL,OF,4,2,66,10,0,0,0,,,,,
bonifjo01,2019,1,KCA,AL,OF,5,5,123,11,0,0,0,,,,,
borucry01,2019,1,TOR,AL,P,2,2,20,0,0,0,0,,,,,
boshebu01,2019,1,TOR,AL,P,28,1,60,0,1,0,0,,,,,
boteda01,2019,1,CHN,NL,2B,50,28,812,53,82,4,19,,,,,
boteda01,2019,1,CHN,NL,3B,67,46,1300,24,94,11,12,,,,,
boteda01,2019,1,CHN,NL,OF,1,0,7,1,0,0,0,,,,,
boteda01,2019,1,CHN,NL,SS,9,1,85,4,7,1,1,,,,,
bourjpe01,2019,1,LAA,AL,2B,1,0,5,0,1,0,0,,,,,
bourjpe01,2019,1,LAA,AL,OF,23,11,360,29,0,0,0,,,,,
bourju01,2019,1,LAA,AL,1B,37,35,926,264,21,1,24,,,,,
bourqja01,2019,1,WAS,NL,P,1,0,2,0,0,0,0,,,,,
bowmama01,2019,1,CIN,NL,P,27,0,96,2,8,1,0,,,,,
boxbebr01,2019,1,KCA,AL,P,29,0,80,3,0,0,0,,,,,
boydma01,2019,1,DET,AL,P,32,32,556,7,19,1,0,,,,,
brachbr01,2019,1,CHN,NL,P,42,0,119,4,6,0,1,,,,,
brachbr01,2019,2,NYN,NL,P,16,0,44,1,0,0,0,,,,,
bradfch02,2019,1,SEA,AL,P,12,0,50,2,3,0,1,,,,,
bradlar01,2019,1,ARI,NL,P,66,1,215,3,1,0,1,,,,,
bradlbo01,2019,1,CLE,AL,1B,5,5,111,39,0,2,3,,,,,
bradlja02,2019,1,BOS,AL,OF,145,138,3780,305,10,4,3,,,,,
brantmi02,2019,1,HOU,AL,OF,123,118,3020,167,3,3,0,,,,,
brasiry01,2019,1,BOS,AL,P,62,0,167,4,4,1,0,,,,,
braulst01,2019,1,PIT,NL,P,25,19,340,8,18,0,3,,,,,
braunry02,2019,1,MIL,NL,OF,112,110,2678,155,6,5,0,,,,,
brebbjo01,2019,1,SLN,NL,P,66,0,218,1,6,0,0,,,,,
bregmal01,2019,1,HOU,AL,3B,99,91,2419,66,164,8,17,,,,,
bregmal01,2019,1,HOU,AL,SS,65,59,1485,63,144,3,21,,,,,
brennbr01,2019,1,SEA,AL,P,44,0,142,0,5,2,1,,,,,
breweco01,2019,1,BOS,AL,P,58,0,164,3,12,0,0,,,,,
briceau01,2019,1,MIA,NL,P,36,0,134,2,2,0,0,,,,,
